Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Ryan Fitzpatrick,TB,127.8,77.1,873.3,4.6,3.4,8.6,34.4,0.3,0.3,51.0
Josh McCown,NYJ,84.2,51.6,514.9,3.1,2.3,6.6,21.6,0.3,0.1,32.2
Lamar Jackson,BAL,50.1,29.1,297.3,1.9,1.1,15.6,72.3,0.6,0.8,26.1
Nick Foles,PHI,56.1,34.1,349.7,2.9,1.6,5.0,13.6,0.1,0.1,24.0
Jacoby Brissett,IND,41.8,24.5,254.4,1.5,1.3,6.5,30.2,0.3,0.1,18.3
Brandon Weeden,HOU,37.1,22.2,252.4,1.4,1.2,2.8,7.3,0.0,0.0,14.4
Connor Cook,OAK,32.4,19.8,226.5,1.2,1.0,2.3,8.1,0.0,0.0,12.9
Landry Jones,PIT,32.8,19.5,223.8,1.1,1.1,2.6,9.4,0.1,0.0,12.6
Blaine Gabbert,TEN,32.0,18.0,200.4,1.2,1.1,1.9,7.7,0.0,0.0,11.3
David Fales,MIA,33.1,19.2,180.4,0.9,1.0,2.7,15.5,0.1,0.2,10.6
Matt Barkley,CIN,25.6,15.6,178.3,0.9,0.7,1.6,4.6,0.0,0.0,10.2
Chase Daniel,CHI,22.2,13.8,155.8,0.9,0.3,1.3,2.6,0.0,0.0,9.4
Jake Rudock,DET,26.7,15.0,169.3,0.8,0.9,1.6,6.1,0.0,0.0,8.8
Colt McCoy,WAS,19.6,11.9,137.3,0.8,0.6,1.6,5.0,0.0,0.0,8.0
Brett Hundley,GB,19.9,11.1,115.6,0.6,0.7,2.6,15.7,0.1,0.1,7.7
Davis Webb,NYG,21.6,12.7,140.3,0.6,0.5,1.2,5.4,0.0,0.1,7.5
Cooper Rush,DAL,17.1,9.7,107.1,0.6,0.4,2.0,11.3,0.1,0.0,7.3
C.J. Beathard,SF,20.1,11.7,127.8,0.5,0.4,1.7,8.1,0.0,0.0,7.2
Paxton Lynch,DEN,20.2,11.6,125.3,0.6,0.6,1.3,6.1,0.0,0.0,7.1
Austin Davis,SEA,18.5,11.2,126.6,0.6,0.4,1.1,3.0,0.0,0.0,7.0
Chad Kelly,DEN,18.5,10.9,111.5,0.6,0.7,2.1,12.6,0.1,0.1,7.0
Trevor Siemian,MIN,17.4,10.5,113.9,0.5,0.4,1.7,9.7,0.1,0.1,6.9
Teddy Bridgewater,NYJ,20.1,11.6,130.4,0.6,0.7,1.2,4.2,0.0,0.0,6.8
Tom Savage,NO,17.5,10.2,111.3,0.5,0.5,1.4,4.4,0.1,0.0,6.1
Brian Hoyer,NE,13.2,7.7,86.8,0.5,0.4,1.1,7.5,0.1,0.1,5.8
Nathan Peterman,BUF,14.0,8.2,88.8,0.5,0.6,1.1,10.2,0.1,0.1,5.6
Cody Kessler,JAC,15.9,9.1,100.9,0.5,0.4,1.1,3.2,0.0,0.0,5.5
Chad Henne,KC,15.3,8.8,101.3,0.4,0.5,1.3,3.1,0.0,0.0,5.2
Ryan Griffin,HOU,16.3,8.7,99.6,0.5,0.5,1.0,3.6,0.0,0.1,5.1
Sean Mannion,LAR,15.1,8.2,89.2,0.3,0.5,2.5,8.9,0.0,0.1,5.0
Brock Osweiler,MIA,12.8,7.6,87.7,0.4,0.4,0.4,4.9,0.0,0.1,4.8
Matt Schaub,ATL,10.6,6.6,77.9,0.4,0.3,0.8,1.4,0.0,0.0,4.2
Geno Smith,LAC,12.6,6.8,75.9,0.3,0.4,1.1,3.2,0.0,0.0,3.9
Mason Rudolph,PIT,8.8,5.3,60.8,0.4,0.3,0.3,1.2,0.0,0.0,3.6
DeShone Kizer,GB,7.8,4.6,51.4,0.2,0.1,1.2,5.6,0.0,0.0,3.1
EJ Manuel,OAK,8.0,4.5,52.3,0.2,0.1,0.5,3.1,0.0,0.0,2.8
Taylor Heinicke,CAR,7.0,4.0,44.8,0.2,0.1,0.3,0.3,0.0,0.0,2.4
Kevin Hogan,WAS,0.7,0.7,30.6,0.1,0.2,0.0,3.2,0.0,0.1,1.7
Mike White,DAL,1.4,0.8,10.1,0.1,0.1,0.1,0.2,0.0,0.0,0.5
Matt Cassel,DET,1.5,1.0,8.9,0.0,0.0,0.0,0.1,0.0,0.0,0.4
Robert Griffin,BAL,0.7,0.3,3.7,0.0,0.0,0.3,1.0,0.0,0.0,0.2
Alex McGough,SEA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Danny Etling,NE,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Garrett Gilbert,CAR,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Logan Woodside,CIN,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Tanner Lee,JAC,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Kyle Lauletta,NYG,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Luke Falk,TEN,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Bray,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Callahan,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Stanton,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Tanney,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt McGloin,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Petty,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale Jones,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameill Showers,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,
,,,,,,,,,,,
